date,department,program of study,year of study,overall quality of education,accessibility of college resources,effectiveness of communication channels,quality of campus facilities,likelihood to recommend the college,satisfaction with extracurricular activities,support provided by academic advisors,promotion of diversity and inclusion,effectiveness of career services,satisfaction with IT support,greatest strength,areas needing improvement,positive experience with professor/staff,additional resources or support desired,suggestions for enhancing student engagement
2023-01-20,Technical,Telecommunication,2.1,2,4,5,3,5,5,1,5,3,1,The professors are very knowledgeable and supportive.,More extracurricular activities related to tech would be beneficial.,"The IT support is responsive, but the campus WiFi needs improvement.","The IT support is responsive, but the campus WiFi needs improvement.",The professors are very knowledgeable and supportive.
2024-08-23,Business,Financial Engineering,3.1,2,3,2,3,5,4,3,1,1,4,More extracurricular activities related to tech would be beneficial.,"The library is great, but we need more access to online resources.","The library is great, but we need more access to online resources.",Communication from the administration could be more timely.,The professors are very knowledgeable and supportive.
2023-04-04,Business,Digital Marketing,3.2,4,5,4,5,1,1,1,2,5,1,Communication from the administration could be more timely.,The professors are very knowledgeable and supportive.,The diversity and inclusion initiatives are commendable.,The professors are very knowledgeable and supportive.,"The library is great, but we need more access to online resources."
2023-03-12,Business,Financial Engineering,1.1,3,2,2,1,3,5,4,5,2,2,The professors are very knowledgeable and supportive.,The professors are very knowledgeable and supportive.,The diversity and inclusion initiatives are commendable.,"The library is great, but we need more access to online resources.",The professors are very knowledgeable and supportive.
2023-04-24,Business,Financial Engineering,3.2,2,3,2,1,4,1,4,2,2,4,Communication from the administration could be more timely.,More extracurricular activities related to tech would be beneficial.,"The career services helped me land an internship, which was a fantastic experience.","The career services helped me land an internship, which was a fantastic experience.","The library is great, but we need more access to online resources."
2024-06-07,Technical,Data Science,2.1,3,1,3,3,5,4,5,3,1,1,More extracurricular activities related to tech would be beneficial.,The professors are very knowledgeable and supportive.,More extracurricular activities related to tech would be beneficial.,"The library is great, but we need more access to online resources.","The IT support is responsive, but the campus WiFi needs improvement."
2023-01-31,Business,Financial Engineering,3.2,3,4,5,5,1,4,5,2,3,1,The diversity and inclusion initiatives are commendable.,"The library is great, but we need more access to online resources.","The career services helped me land an internship, which was a fantastic experience.",Communication from the administration could be more timely.,The diversity and inclusion initiatives are commendable.
2024-05-30,Technical,Telecommunication,3.1,3,1,3,5,3,4,3,4,3,5,The professors are very knowledgeable and supportive.,"The career services helped me land an internship, which was a fantastic experience.",The diversity and inclusion initiatives are commendable.,The diversity and inclusion initiatives are commendable.,The professors are very knowledgeable and supportive.
2023-08-26,Business,Financial Engineering,3.1,1,3,3,2,4,5,5,3,4,4,"The campus facilities are well-maintained, but the labs need more modern equipment.","The career services helped me land an internship, which was a fantastic experience.","The campus facilities are well-maintained, but the labs need more modern equipment.",The professors are very knowledgeable and supportive.,"The IT support is responsive, but the campus WiFi needs improvement."
2024-04-21,Business,Financial Engineering,1.1,2,3,2,2,2,1,1,2,4,5,"The IT support is responsive, but the campus WiFi needs improvement.","The campus facilities are well-maintained, but the labs need more modern equipment.",The diversity and inclusion initiatives are commendable.,"The career services helped me land an internship, which was a fantastic experience.",The diversity and inclusion initiatives are commendable.
2024-02-03,Business,Financial Engineering,1.2,2,1,1,4,2,2,5,4,1,5,"The career services helped me land an internship, which was a fantastic experience.","The IT support is responsive, but the campus WiFi needs improvement.","The campus facilities are well-maintained, but the labs need more modern equipment.",The professors are very knowledgeable and supportive.,"The campus facilities are well-maintained, but the labs need more modern equipment."
2022-09-11,Business,Financial Engineering,3.1,5,4,5,4,2,4,4,3,2,3,"The campus facilities are well-maintained, but the labs need more modern equipment.","The career services helped me land an internship, which was a fantastic experience.",More extracurricular activities related to tech would be beneficial.,"The campus facilities are well-maintained, but the labs need more modern equipment.","The IT support is responsive, but the campus WiFi needs improvement."
2022-12-20,Business,Digital Marketing,2.1,3,3,5,1,2,2,2,4,2,2,"The IT support is responsive, but the campus WiFi needs improvement.",The diversity and inclusion initiatives are commendable.,The diversity and inclusion initiatives are commendable.,Communication from the administration could be more timely.,"The campus facilities are well-maintained, but the labs need more modern equipment."
2023-04-13,Business,Digital Marketing,1.2,4,4,5,1,5,4,4,1,3,3,The diversity and inclusion initiatives are commendable.,The diversity and inclusion initiatives are commendable.,"The career services helped me land an internship, which was a fantastic experience.","The campus facilities are well-maintained, but the labs need more modern equipment.","The career services helped me land an internship, which was a fantastic experience."
2023-08-27,Business,Financial Engineering,2.2,1,4,3,4,2,4,2,5,5,1,The diversity and inclusion initiatives are commendable.,"The library is great, but we need more access to online resources.","The IT support is responsive, but the campus WiFi needs improvement.",The diversity and inclusion initiatives are commendable.,The professors are very knowledgeable and supportive.
2024-04-22,Business,Digital Marketing,1.1,3,4,3,2,4,3,3,4,3,4,More extracurricular activities related to tech would be beneficial.,"The IT support is responsive, but the campus WiFi needs improvement.","The campus facilities are well-maintained, but the labs need more modern equipment.","The library is great, but we need more access to online resources.","The library is great, but we need more access to online resources."
2023-06-21,Business,Digital Marketing,3.2,1,1,1,2,2,1,5,2,2,2,"The campus facilities are well-maintained, but the labs need more modern equipment.","The IT support is responsive, but the campus WiFi needs improvement.","The career services helped me land an internship, which was a fantastic experience.","The campus facilities are well-maintained, but the labs need more modern equipment.",More extracurricular activities related to tech would be beneficial.
2023-10-02,Business,Digital Marketing,3.1,5,1,2,3,1,5,1,3,5,4,The diversity and inclusion initiatives are commendable.,"The career services helped me land an internship, which was a fantastic experience.","The IT support is responsive, but the campus WiFi needs improvement.","The career services helped me land an internship, which was a fantastic experience.","The IT support is responsive, but the campus WiFi needs improvement."
2023-08-01,Business,Digital Marketing,3.1,1,3,5,4,3,1,5,3,1,4,"The campus facilities are well-maintained, but the labs need more modern equipment.","The IT support is responsive, but the campus WiFi needs improvement.",The diversity and inclusion initiatives are commendable.,Communication from the administration could be more timely.,"The campus facilities are well-maintained, but the labs need more modern equipment."
2024-08-08,Technical,Data Science,1.2,5,3,5,5,4,4,4,5,3,3,"The career services helped me land an internship, which was a fantastic experience.","The IT support is responsive, but the campus WiFi needs improvement.",More extracurricular activities related to tech would be beneficial.,"The campus facilities are well-maintained, but the labs need more modern equipment.","The career services helped me land an internship, which was a fantastic experience."
2023-01-19,Business,Financial Engineering,2.1,1,4,3,2,4,2,3,3,3,3,More extracurricular activities related to tech would be beneficial.,"The library is great, but we need more access to online resources.","The career services helped me land an internship, which was a fantastic experience.","The IT support is responsive, but the campus WiFi needs improvement.","The career services helped me land an internship, which was a fantastic experience."
2024-04-19,Business,Financial Engineering,3.1,2,4,4,4,1,1,3,2,4,2,More extracurricular activities related to tech would be beneficial.,Communication from the administration could be more timely.,"The campus facilities are well-maintained, but the labs need more modern equipment.",Communication from the administration could be more timely.,The diversity and inclusion initiatives are commendable.
2024-08-30,Business,Financial Engineering,3.2,4,3,3,3,2,1,2,3,1,5,The professors are very knowledgeable and supportive.,"The career services helped me land an internship, which was a fantastic experience.","The career services helped me land an internship, which was a fantastic experience.","The campus facilities are well-maintained, but the labs need more modern equipment.",More extracurricular activities related to tech would be beneficial.
2024-02-14,Business,Digital Marketing,1.2,3,2,3,2,3,1,5,2,3,1,"The library is great, but we need more access to online resources.",More extracurricular activities related to tech would be beneficial.,The professors are very knowledgeable and supportive.,"The campus facilities are well-maintained, but the labs need more modern equipment.","The IT support is responsive, but the campus WiFi needs improvement."
2023-06-10,Technical,Telecommunication,2.2,4,4,3,2,1,3,4,1,1,4,"The campus facilities are well-maintained, but the labs need more modern equipment.","The IT support is responsive, but the campus WiFi needs improvement.","The library is great, but we need more access to online resources.",The professors are very knowledgeable and supportive.,The professors are very knowledgeable and supportive.
2023-01-16,Business,Digital Marketing,1.2,1,5,4,5,5,5,2,5,4,4,"The campus facilities are well-maintained, but the labs need more modern equipment.",More extracurricular activities related to tech would be beneficial.,The diversity and inclusion initiatives are commendable.,More extracurricular activities related to tech would be beneficial.,"The library is great, but we need more access to online resources."
2023-08-04,Technical,Software Engineering,3.2,2,3,1,2,2,2,5,1,2,1,The diversity and inclusion initiatives are commendable.,"The campus facilities are well-maintained, but the labs need more modern equipment.","The campus facilities are well-maintained, but the labs need more modern equipment.",More extracurricular activities related to tech would be beneficial.,"The library is great, but we need more access to online resources."
2023-03-16,Technical,Telecommunication,3.2,3,4,1,2,3,5,2,4,1,5,"The career services helped me land an internship, which was a fantastic experience.",The professors are very knowledgeable and supportive.,More extracurricular activities related to tech would be beneficial.,The professors are very knowledgeable and supportive.,"The IT support is responsive, but the campus WiFi needs improvement."
2023-04-03,Technical,Software Engineering,2.1,5,5,3,4,1,4,3,4,3,5,"The campus facilities are well-maintained, but the labs need more modern equipment.","The campus facilities are well-maintained, but the labs need more modern equipment.","The IT support is responsive, but the campus WiFi needs improvement.","The library is great, but we need more access to online resources.",The diversity and inclusion initiatives are commendable.
2022-11-01,Business,Financial Engineering,1.1,1,2,5,5,1,3,5,1,2,4,"The campus facilities are well-maintained, but the labs need more modern equipment.",More extracurricular activities related to tech would be beneficial.,The professors are very knowledgeable and supportive.,The diversity and inclusion initiatives are commendable.,"The campus facilities are well-maintained, but the labs need more modern equipment."
2023-03-11,Technical,Data Science,2.1,4,3,3,1,2,3,4,4,3,4,"The library is great, but we need more access to online resources.","The campus facilities are well-maintained, but the labs need more modern equipment.","The IT support is responsive, but the campus WiFi needs improvement.",Communication from the administration could be more timely.,More extracurricular activities related to tech would be beneficial.
2024-02-22,Business,Digital Marketing,2.2,5,1,5,4,4,1,2,5,3,5,"The campus facilities are well-maintained, but the labs need more modern equipment.","The campus facilities are well-maintained, but the labs need more modern equipment.","The library is great, but we need more access to online resources.","The career services helped me land an internship, which was a fantastic experience.",More extracurricular activities related to tech would be beneficial.
2023-06-08,Technical,Telecommunication,2.2,4,1,1,5,2,2,3,5,1,5,The diversity and inclusion initiatives are commendable.,"The IT support is responsive, but the campus WiFi needs improvement.","The career services helped me land an internship, which was a fantastic experience.","The IT support is responsive, but the campus WiFi needs improvement.","The campus facilities are well-maintained, but the labs need more modern equipment."
2023-04-15,Technical,Software Engineering,2.2,3,5,3,4,4,4,2,4,5,2,The diversity and inclusion initiatives are commendable.,"The career services helped me land an internship, which was a fantastic experience.",The professors are very knowledgeable and supportive.,"The IT support is responsive, but the campus WiFi needs improvement.",More extracurricular activities related to tech would be beneficial.
2023-04-27,Business,Financial Engineering,3.1,3,1,3,3,5,5,4,2,4,5,"The campus facilities are well-maintained, but the labs need more modern equipment.",Communication from the administration could be more timely.,Communication from the administration could be more timely.,The diversity and inclusion initiatives are commendable.,"The campus facilities are well-maintained, but the labs need more modern equipment."
2023-01-07,Business,Digital Marketing,3.2,2,5,4,2,4,1,3,4,4,4,The professors are very knowledgeable and supportive.,"The campus facilities are well-maintained, but the labs need more modern equipment.","The library is great, but we need more access to online resources.",The professors are very knowledgeable and supportive.,Communication from the administration could be more timely.
2024-07-10,Technical,Data Science,1.1,5,4,1,2,4,2,1,4,3,3,The diversity and inclusion initiatives are commendable.,"The IT support is responsive, but the campus WiFi needs improvement.",Communication from the administration could be more timely.,The diversity and inclusion initiatives are commendable.,Communication from the administration could be more timely.
2024-06-02,Business,Digital Marketing,3.1,1,2,3,2,1,4,1,1,4,2,More extracurricular activities related to tech would be beneficial.,"The library is great, but we need more access to online resources.","The library is great, but we need more access to online resources.",Communication from the administration could be more timely.,"The library is great, but we need more access to online resources."
2024-01-21,Business,Financial Engineering,2.1,4,2,2,5,4,5,2,2,2,1,The diversity and inclusion initiatives are commendable.,"The career services helped me land an internship, which was a fantastic experience.","The campus facilities are well-maintained, but the labs need more modern equipment.",The professors are very knowledgeable and supportive.,"The career services helped me land an internship, which was a fantastic experience."
2023-07-18,Business,Financial Engineering,2.2,3,1,4,3,5,2,1,4,3,5,More extracurricular activities related to tech would be beneficial.,The diversity and inclusion initiatives are commendable.,More extracurricular activities related to tech would be beneficial.,"The campus facilities are well-maintained, but the labs need more modern equipment.",More extracurricular activities related to tech would be beneficial.
2024-04-09,Technical,Data Science,2.2,1,2,4,5,3,5,3,3,1,4,More extracurricular activities related to tech would be beneficial.,"The library is great, but we need more access to online resources.","The library is great, but we need more access to online resources.","The campus facilities are well-maintained, but the labs need more modern equipment.",More extracurricular activities related to tech would be beneficial.
2022-12-04,Technical,Telecommunication,1.2,2,5,3,2,1,1,3,4,1,5,Communication from the administration could be more timely.,The professors are very knowledgeable and supportive.,"The IT support is responsive, but the campus WiFi needs improvement.",More extracurricular activities related to tech would be beneficial.,Communication from the administration could be more timely.
2022-12-01,Business,Digital Marketing,1.2,2,5,3,5,5,3,2,3,4,3,Communication from the administration could be more timely.,"The IT support is responsive, but the campus WiFi needs improvement.","The campus facilities are well-maintained, but the labs need more modern equipment.","The IT support is responsive, but the campus WiFi needs improvement.",The professors are very knowledgeable and supportive.
2023-07-07,Technical,Data Science,3.1,3,1,4,1,3,5,1,4,3,3,The diversity and inclusion initiatives are commendable.,Communication from the administration could be more timely.,"The IT support is responsive, but the campus WiFi needs improvement.","The career services helped me land an internship, which was a fantastic experience.","The campus facilities are well-maintained, but the labs need more modern equipment."
2022-12-23,Technical,Telecommunication,3.1,2,1,4,3,4,1,2,1,1,3,"The campus facilities are well-maintained, but the labs need more modern equipment.","The IT support is responsive, but the campus WiFi needs improvement.","The IT support is responsive, but the campus WiFi needs improvement.","The career services helped me land an internship, which was a fantastic experience.",The professors are very knowledgeable and supportive.
2023-03-28,Business,Financial Engineering,2.1,5,4,5,2,4,1,4,5,4,3,"The library is great, but we need more access to online resources.",Communication from the administration could be more timely.,"The career services helped me land an internship, which was a fantastic experience.","The campus facilities are well-maintained, but the labs need more modern equipment.","The campus facilities are well-maintained, but the labs need more modern equipment."
2023-03-22,Technical,Telecommunication,1.1,3,5,3,1,4,3,2,1,4,1,"The career services helped me land an internship, which was a fantastic experience.","The library is great, but we need more access to online resources.","The library is great, but we need more access to online resources.",Communication from the administration could be more timely.,"The career services helped me land an internship, which was a fantastic experience."
2024-03-27,Technical,Software Engineering,1.1,5,2,5,2,2,3,2,5,1,3,The professors are very knowledgeable and supportive.,The professors are very knowledgeable and supportive.,More extracurricular activities related to tech would be beneficial.,The professors are very knowledgeable and supportive.,"The IT support is responsive, but the campus WiFi needs improvement."
2023-05-03,Technical,Software Engineering,1.1,3,2,5,3,1,2,3,1,2,4,"The IT support is responsive, but the campus WiFi needs improvement.","The IT support is responsive, but the campus WiFi needs improvement.","The campus facilities are well-maintained, but the labs need more modern equipment.","The campus facilities are well-maintained, but the labs need more modern equipment.",Communication from the administration could be more timely.
2023-04-02,Technical,Data Science,3.1,2,5,1,5,3,4,1,1,4,4,The diversity and inclusion initiatives are commendable.,"The IT support is responsive, but the campus WiFi needs improvement.","The campus facilities are well-maintained, but the labs need more modern equipment.","The campus facilities are well-maintained, but the labs need more modern equipment.","The IT support is responsive, but the campus WiFi needs improvement."
2024-07-01,Technical,Telecommunication,3.1,2,1,2,3,5,5,5,3,4,5,More extracurricular activities related to tech would be beneficial.,"The campus facilities are well-maintained, but the labs need more modern equipment.",The diversity and inclusion initiatives are commendable.,"The IT support is responsive, but the campus WiFi needs improvement.","The IT support is responsive, but the campus WiFi needs improvement."
2023-04-30,Technical,Data Science,2.2,2,4,3,4,4,4,1,3,4,3,More extracurricular activities related to tech would be beneficial.,Communication from the administration could be more timely.,The professors are very knowledgeable and supportive.,"The campus facilities are well-maintained, but the labs need more modern equipment.","The IT support is responsive, but the campus WiFi needs improvement."
2024-07-10,Technical,Computer Networking,1.1,4,1,3,2,5,1,5,5,5,3,"The IT support is responsive, but the campus WiFi needs improvement.",The diversity and inclusion initiatives are commendable.,Communication from the administration could be more timely.,The diversity and inclusion initiatives are commendable.,"The library is great, but we need more access to online resources."
2023-06-27,Business,Financial Engineering,2.1,1,5,5,2,2,4,2,1,3,5,Communication from the administration could be more timely.,"The IT support is responsive, but the campus WiFi needs improvement.",More extracurricular activities related to tech would be beneficial.,"The career services helped me land an internship, which was a fantastic experience.",The diversity and inclusion initiatives are commendable.
2023-06-07,Technical,Telecommunication,1.1,2,3,3,3,3,1,2,2,5,4,"The IT support is responsive, but the campus WiFi needs improvement.",The professors are very knowledgeable and supportive.,"The library is great, but we need more access to online resources.","The IT support is responsive, but the campus WiFi needs improvement.","The career services helped me land an internship, which was a fantastic experience."
2023-07-21,Business,Financial Engineering,2.2,3,2,3,3,3,5,5,1,1,2,The professors are very knowledgeable and supportive.,"The library is great, but we need more access to online resources.","The IT support is responsive, but the campus WiFi needs improvement.",More extracurricular activities related to tech would be beneficial.,"The campus facilities are well-maintained, but the labs need more modern equipment."
2024-06-02,Business,Financial Engineering,3.1,4,4,3,2,5,1,3,4,1,3,"The campus facilities are well-maintained, but the labs need more modern equipment.",More extracurricular activities related to tech would be beneficial.,"The library is great, but we need more access to online resources.","The career services helped me land an internship, which was a fantastic experience.",The diversity and inclusion initiatives are commendable.
2023-11-07,Technical,Computer Networking,1.2,3,2,2,3,3,3,1,1,4,4,The professors are very knowledgeable and supportive.,The professors are very knowledgeable and supportive.,The diversity and inclusion initiatives are commendable.,"The career services helped me land an internship, which was a fantastic experience.",Communication from the administration could be more timely.
2024-05-09,Technical,Data Science,3.2,1,4,1,4,1,3,5,4,5,4,The diversity and inclusion initiatives are commendable.,More extracurricular activities related to tech would be beneficial.,"The IT support is responsive, but the campus WiFi needs improvement.",The diversity and inclusion initiatives are commendable.,"The library is great, but we need more access to online resources."
2023-09-06,Business,Digital Marketing,3.1,4,3,1,4,1,2,4,5,4,5,"The IT support is responsive, but the campus WiFi needs improvement.",The diversity and inclusion initiatives are commendable.,More extracurricular activities related to tech would be beneficial.,Communication from the administration could be more timely.,"The career services helped me land an internship, which was a fantastic experience."
2024-08-12,Business,Digital Marketing,1.1,5,1,5,5,2,3,3,2,2,1,The professors are very knowledgeable and supportive.,More extracurricular activities related to tech would be beneficial.,"The career services helped me land an internship, which was a fantastic experience.",The professors are very knowledgeable and supportive.,The professors are very knowledgeable and supportive.
2023-07-01,Technical,Software Engineering,3.2,4,4,5,5,4,5,5,3,3,2,"The campus facilities are well-maintained, but the labs need more modern equipment.","The IT support is responsive, but the campus WiFi needs improvement.","The campus facilities are well-maintained, but the labs need more modern equipment.","The campus facilities are well-maintained, but the labs need more modern equipment.",More extracurricular activities related to tech would be beneficial.
2023-03-25,Business,Digital Marketing,2.1,5,1,3,4,4,1,1,3,3,1,"The IT support is responsive, but the campus WiFi needs improvement.",The diversity and inclusion initiatives are commendable.,"The campus facilities are well-maintained, but the labs need more modern equipment.","The library is great, but we need more access to online resources.","The campus facilities are well-maintained, but the labs need more modern equipment."
2024-08-06,Technical,Telecommunication,3.1,4,5,2,1,4,1,3,1,5,2,"The library is great, but we need more access to online resources.","The career services helped me land an internship, which was a fantastic experience.","The campus facilities are well-maintained, but the labs need more modern equipment.","The campus facilities are well-maintained, but the labs need more modern equipment.",The professors are very knowledgeable and supportive.
2023-04-19,Business,Financial Engineering,2.1,4,4,3,5,1,3,1,3,1,5,The diversity and inclusion initiatives are commendable.,More extracurricular activities related to tech would be beneficial.,More extracurricular activities related to tech would be beneficial.,The professors are very knowledgeable and supportive.,Communication from the administration could be more timely.
2022-12-29,Technical,Software Engineering,2.1,3,4,2,5,1,3,5,4,3,2,"The IT support is responsive, but the campus WiFi needs improvement.",The diversity and inclusion initiatives are commendable.,Communication from the administration could be more timely.,"The library is great, but we need more access to online resources.",Communication from the administration could be more timely.
2023-09-27,Business,Digital Marketing,1.2,3,4,2,2,2,2,1,3,1,5,"The library is great, but we need more access to online resources.",Communication from the administration could be more timely.,The professors are very knowledgeable and supportive.,The diversity and inclusion initiatives are commendable.,The professors are very knowledgeable and supportive.
2023-08-04,Technical,Software Engineering,3.2,5,2,4,1,4,3,2,4,5,3,"The campus facilities are well-maintained, but the labs need more modern equipment.","The career services helped me land an internship, which was a fantastic experience.","The career services helped me land an internship, which was a fantastic experience.",More extracurricular activities related to tech would be beneficial.,"The campus facilities are well-maintained, but the labs need more modern equipment."
2023-03-08,Technical,Telecommunication,3.2,5,4,4,3,4,5,5,4,2,2,The professors are very knowledgeable and supportive.,More extracurricular activities related to tech would be beneficial.,"The library is great, but we need more access to online resources.","The campus facilities are well-maintained, but the labs need more modern equipment.",Communication from the administration could be more timely.
2024-02-10,Technical,Computer Networking,2.1,1,2,3,4,5,2,4,1,2,4,Communication from the administration could be more timely.,"The library is great, but we need more access to online resources.",The diversity and inclusion initiatives are commendable.,"The library is great, but we need more access to online resources.",The diversity and inclusion initiatives are commendable.
2024-04-17,Business,Digital Marketing,2.2,1,3,2,1,3,1,3,2,2,1,More extracurricular activities related to tech would be beneficial.,"The campus facilities are well-maintained, but the labs need more modern equipment.",The professors are very knowledgeable and supportive.,"The campus facilities are well-maintained, but the labs need more modern equipment.","The campus facilities are well-maintained, but the labs need more modern equipment."
2023-08-24,Technical,Computer Networking,1.1,3,2,2,5,5,5,4,1,3,2,More extracurricular activities related to tech would be beneficial.,"The IT support is responsive, but the campus WiFi needs improvement.","The library is great, but we need more access to online resources.","The career services helped me land an internship, which was a fantastic experience.",The diversity and inclusion initiatives are commendable.
2023-05-10,Business,Digital Marketing,1.1,4,5,5,1,5,5,2,2,3,4,"The library is great, but we need more access to online resources.",Communication from the administration could be more timely.,"The career services helped me land an internship, which was a fantastic experience.",The diversity and inclusion initiatives are commendable.,The professors are very knowledgeable and supportive.
2023-05-18,Technical,Telecommunication,1.1,5,5,5,5,5,1,4,4,1,4,Communication from the administration could be more timely.,More extracurricular activities related to tech would be beneficial.,"The library is great, but we need more access to online resources.",Communication from the administration could be more timely.,"The IT support is responsive, but the campus WiFi needs improvement."
2024-01-11,Business,Digital Marketing,3.2,1,5,3,2,1,3,5,3,2,4,"The campus facilities are well-maintained, but the labs need more modern equipment.",The professors are very knowledgeable and supportive.,The professors are very knowledgeable and supportive.,"The IT support is responsive, but the campus WiFi needs improvement.","The campus facilities are well-maintained, but the labs need more modern equipment."
2023-11-07,Technical,Telecommunication,1.2,1,2,1,3,3,5,4,5,4,3,"The library is great, but we need more access to online resources.","The career services helped me land an internship, which was a fantastic experience.",More extracurricular activities related to tech would be beneficial.,Communication from the administration could be more timely.,"The library is great, but we need more access to online resources."
2024-08-01,Business,Financial Engineering,1.1,3,4,4,4,4,3,2,4,4,3,More extracurricular activities related to tech would be beneficial.,"The IT support is responsive, but the campus WiFi needs improvement.",The diversity and inclusion initiatives are commendable.,"The IT support is responsive, but the campus WiFi needs improvement.",The diversity and inclusion initiatives are commendable.
